station_id,route_key,mp,role,reason,site,station_type,on,at,shs_offset_m,lat,lon
00083,,,out,not on a state route,,P,Banks Lowman RD,Banks-Lowman Hwy  13.5 Mi. E of SH-55,,44.0576868372447,-115.913145430794
00085,,,out,no TCDS count since 2023,,P,US 12 MAIN,US-12  1.0 Mi. NE of Selway River Rd,,46.1532967752792,-115.585127796849
00114,,,out,daily totals only (no hourly shape),,P,US 2 MAIN,US-2  1.9 Mi. NW of Idaho-Montana Line,,48.6429765055784,-116.057853251141
00147,,,out,daily totals only (no hourly shape),,P,SH 57 MAIN,SH-57  8.4 Mi. N of Jct US-2,,48.2805684556005,-116.955613555872
00159,,,out,no TCDS count since 2023,,P,US 20 MAIN,US-20 .3 m. W of McDermott Rd,,43.6630178256634,-116.478457205609
00173,,,out,no TCDS count since 2023,,P,INT 15 MAIN,I-15  10.8 Mi. N of Dubois (NB),,44.3237121953998,-112.180705225235
00182,,,out,daily totals only (no hourly shape),,P,SH 55 MAIN,SH-55  230 Ft. N of Garden Valley Rd (counter at intersection),,44.0851785905309,-116.114172226449
00183,,,out,not on a state route,,P,Banks Lowman HWY,Banks Lowman Rd  200 Ft. E of Jct SH-55,,44.0843115191253,-116.114080565456
00197,,,out,ramp count,,P,INT 84 RA,I-84 Rest Area Ramp  84 Ft. SE from Snake River View RA entrance,,43.9959732978861,-116.936536570122
00198-1-1-2026,,,out,not a five-digit id,,P,INT 84 MAIN,I-84  .38 Mi. W of IC #29 (WB),,43.6653417133348,-116.666121490691
00200,,,out,not on a state route,,P,W State ST,"State St  580 Ft. NW of 23rd St, Boise (access from Ellis St.)",,43.6293506588706,-116.21952209712
00202,,,out,not on a state route,,P,Americana BLVD,Americana Blvd  S. end of Americana Blvd. Bridge,,43.615224503822,-116.222239866084
00203,,,out,not on a state route,,P,16th AVE,"16th Ave N  75 Ft. S of 2nd St N, Nampa",,43.5784436854002,-116.552399567309
00205,,,out,not on a state route,,P,N 10th ST,"N 10th Ave  0.21 Mi. NE of Arthur St, Caldwell",,43.6664251797035,-116.683115001654
00209,,,out,not on a state route,,P,W Fairview AVE,Fairview Ave .15 Mi. East of Chinden intersection,,43.6191646416338,-116.230689277696
00210,,,out,not on a state route,,P,E Fairview AVE,"Main St at W. side of Boise River Bridge, Boise",,43.620325,-116.231459
00211,,,out,not on a state route,,P,E Warm Springs AVE,,,43.6068969235248,-116.182261180232
00212,,,out,not on a state route,,P,S Capitol BLVD,,,43.6090912528959,-116.208053697027
00213-8-26-25,,,out,not a five-digit id,,P,,"Broadway Ave (US-20) at S. end of Boise River Bridge, Boise",,43.6028243409363,-116.193491929129
00215,,,out,not on a state route,,P,E Parkcenter BLVD,"Parkcenter Blvd  0.2 Mi. E of Bown Way, Boise",,43.5768442440077,-116.149922859447
00216,,,out,not on a state route,,P,N 9th ST,"S 9th St, 260 Ft. S. of River St.",,43.610564908532,-116.209286594951
00218,,,out,not on a state route,,P,Veterans Memorial PKY,Veterans Memorial Pkwy & Adams St.,,43.6337628403182,-116.246337899998
00219,,,out,not on a state route,,P,W Parkcenter BLVD,,,43.5997693548792,-116.188377086098
